iCUSIP,iPERIOD_END,x14,x15
88579Y101,2013-12-31,-0.005416365996785695,0.8389338762468947
88579Y101,2013-12-31,-0.0192935939212317,0.8389338762468947
88579Y101,2013-12-31,0.007679960799492402,0.8389338762468947
88579Y101,2013-12-31,-0.018732670257129103,0.8389338762468947
88579Y101,2013-12-31,0.006779266020211101,0.8389338762468947
88579Y101,2013-12-31,-0.0055298014845202,0.8389338762468947
88579Y101,2013-12-31,-0.015407957552487903,0.8389338762468947
88579Y101,2013-12-31,-0.0150063729029889,0.8389338762468947
88579Y101,2013-12-31,0.0282801832101051,0.8389338762468947
88579Y101,2013-12-31,-0.004766636164904999,0.8389338762468947
88579Y101,2013-12-31,-0.0025407596516041978,0.8389338762468947
88579Y101,2013-12-31,-0.014869547434388002,0.8389338762468947
31428X106,2013-12-31,-0.005416365996785695,0.8855201270347093
31428X106,2013-12-31,0.007679960799492402,0.8855201270347093
31428X106,2013-12-31,-0.018732670257129103,0.8855201270347093
31428X106,2013-12-31,-0.015407957552487903,0.8855201270347093
31428X106,2013-12-31,0.0282801832101051,0.8855201270347093
31428X106,2013-12-31,0.029063200190743703,0.8855201270347093
452308109,2013-12-31,-0.005416365996785695,0.934042870746832
452308109,2013-12-31,-0.0181852369598463,0.934042870746832
452308109,2013-12-31,-0.018732670257129103,0.934042870746832
452308109,2013-12-31,-0.0150063729029889,0.934042870746832
452308109,2013-12-31,0.0282801832101051,0.934042870746832
G47791101,2013-12-31,-0.011361130593941199,1.0
G47791101,2013-12-31,0.005176778813825306,1.0
013817101,2014-03-31,0.012977872837610899,0.37345848388445996
013817101,2014-03-31,0.011252248441213107,0.37345848388445996
013817101,2014-03-31,-0.0160748945319937,0.37345848388445996
30231G102,2014-03-31,0.014453532203218197,0.4194019700159745
30231G102,2014-03-31,0.005131944423038798,0.4194019700159745
30231G102,2014-03-31,0.0191071042002523,0.4194019700159745
30231G102,2014-03-31,-0.003829073481219296,0.4194019700159745
30231G102,2014-03-31,0.004251132001941202,0.4194019700159745
30231G102,2014-03-31,-0.042986538103257296,0.4194019700159745
30231G102,2014-03-31,0.0409533933772806,0.4194019700159745
30231G102,2014-03-31,0.016376132833600995,0.4194019700159745
30231G102,2014-03-31,-0.005189086722179298,0.4194019700159745
30231G102,2014-03-31,0.014684200727169097,0.4194019700159745
30231G102,2014-03-31,0.007944015924316788,0.4194019700159745
30231G102,2014-03-31,-0.0161746215770094,0.4194019700159745
30231G102,2014-03-31,0.014357586919316594,0.4194019700159745
30231G102,2014-03-31,-0.010028631629259398,0.4194019700159745
30231G102,2014-03-31,0.0012434709681369976,0.4194019700159745
30231G102,2014-03-31,0.009374227810542202,0.4194019700159745
30231G102,2014-03-31,0.0280888798499241,0.4194019700159745
30231G102,2014-03-31,0.015599287264758704,0.4194019700159745
30231G102,2014-03-31,-0.020463127938606704,0.4194019700159745
30231G102,2014-03-31,-0.027531300834841697,0.4194019700159745
30231G102,2014-03-31,-0.0182229315632177,0.4194019700159745
30231G102,2014-03-31,-0.006009861684020401,0.4194019700159745
806857108,2014-03-31,0.014453532203218197,0.3369446761534253
806857108,2014-03-31,-0.0036606146209729046,0.3369446761534253
806857108,2014-03-31,0.005131944423038798,0.3369446761534253
806857108,2014-03-31,0.0191071042002523,0.3369446761534253
806857108,2014-03-31,-0.003829073481219296,0.3369446761534253
