iCUSIP	iPERIOD_END	x1	x4	x5
001055102	2017-03-31	30	0.1078838174273859	0.041450198881358806
001055102	2017-06-30	34	0.1078838174273859	0.041450198881358806
001084102	2013-09-30	1	0.07692307692307693	0.07245966441958433
001084102	2013-12-31	2	0.07692307692307693	0.07245966441958433
001084102	2014-03-31	5	0.07692307692307693	0.07245966441958433
001084102	2014-06-30	0	0.07692307692307693	0.07245966441958433
001084102	2014-09-30	1	0.07692307692307693	0.07245966441958433
001084102	2014-12-31	2	0.07692307692307693	0.07245966441958433
001084102	2015-03-31	2	0.07692307692307693	0.07245966441958433
001084102	2015-06-30	3	0.07692307692307693	0.07245966441958433
001084102	2015-09-30	1	0.07692307692307693	0.07245966441958433
001084102	2015-12-31	2	0.07692307692307693	0.07245966441958433
001084102	2016-03-31	0	0.07692307692307693	0.07245966441958433
001084102	2016-06-30	0	0.07692307692307693	0.07245966441958433
001084102	2016-09-30	1	0.07692307692307693	0.07245966441958433
001084102	2017-03-31	2	0.07692307692307693	0.07245966441958433
001084102	2017-06-30	2	0.07692307692307693	0.07245966441958433
001204106	2013-09-30	7	0.16393442622950818	0.05147064902739902
001204106	2013-12-31	7	0.16393442622950818	0.05147064902739902
001204106	2014-03-31	8	0.16393442622950818	0.05147064902739902
001204106	2014-06-30	8	0.16393442622950818	0.05147064902739902
001204106	2014-09-30	8	0.16393442622950818	0.05147064902739902
001204106	2014-12-31	9	0.16393442622950818	0.05147064902739902
001204106	2015-03-31	10	0.16393442622950818	0.05147064902739902
001204106	2015-06-30	8	0.16393442622950818	0.05147064902739902
001204106	2015-09-30	11	0.16393442622950818	0.05147064902739902
001204106	2015-12-31	13	0.16393442622950818	0.05147064902739902
001204106	2016-03-31	12	0.16393442622950818	0.05147064902739902
001204106	2016-06-30	11	0.16393442622950818	0.05147064902739902
001228105	2013-09-30	1	0.0	
001228105	2013-12-31	2	0.0	
001228105	2014-03-31	2	0.0	
001228105	2014-06-30	2	0.0	
001228105	2014-09-30	0	0.0	
001228105	2014-12-31	0	0.0	
001228105	2015-03-31	0	0.0	
001228105	2015-06-30	0	0.0	
001228105	2015-09-30	0	0.0	
001228105	2015-12-31	0	0.0	
001228105	2016-03-31	0	0.0	
001228105	2016-06-30	0	0.0	
001228105	2016-09-30	0	0.0	
001228105	2017-03-31	0	0.0	
001228105	2017-06-30	0	0.0	
00130H105	2013-09-30	0	0.2	0.0078107267509544736
00130H105	2013-12-31	0	0.2	0.0078107267509544736
00130H105	2014-03-31	0	0.2	0.0078107267509544736
00130H105	2014-06-30	1	0.2	0.0078107267509544736
00130H105	2014-09-30	1	0.2	0.0078107267509544736
00130H105	2014-12-31	0	0.2	0.0078107267509544736
00130H105	2015-03-31	0	0.2	0.0078107267509544736
00130H105	2015-06-30	0	0.2	0.0078107267509544736
00130H105	2015-09-30	1	0.2	0.0078107267509544736
00130H105	2015-12-31	1	0.2	0.0078107267509544736
00130H105	2016-03-31	1	0.2	0.0078107267509544736
